,Longitude,Latitude
564,-79.9453380884,40.4411486303
565,-79.9453324226,40.4411474988
566,-79.9453267568,40.4411463673
567,-79.945321091,40.4411452358
568,-79.9453154252,40.4411441043
569,-79.9453097594,40.4411429728
570,-79.9453040936,40.4411418413
571,-79.9452984278,40.4411407097
572,-79.945292762,40.4411395782
573,-79.9452870962,40.4411384467
574,-79.9452814304,40.4411373152
575,-79.9452757646,40.4411361837
576,-79.9452700988,40.4411350522
577,-79.945264433,40.4411339207
578,-79.9452587672,40.4411327892
579,-79.9452531015,40.4411316577
580,-79.9452474357,40.4411305262
581,-79.9452417699,40.4411293947
582,-79.9452361041,40.4411282632
583,-79.9452304383,40.4411271317
584,-79.9452247725,40.4411260002
585,-79.9452191067,40.4411248687
586,-79.9452134409,40.4411237371
587,-79.9452077751,40.4411226056
588,-79.9452021093,40.4411214741
589,-79.9451964435,40.4411203426
590,-79.9451907777,40.4411192111
591,-79.9451851119,40.4411180796
592,-79.9451794462,40.4411169481
593,-79.9451737804,40.4411158166
594,-79.9451681146,40.4411146851
595,-79.9451624488,40.4411135536
596,-79.945156783,40.4411124221
597,-79.9451511172,40.4411112906
598,-79.9451454514,40.4411101591
599,-79.9451397856,40.4411090276
600,-79.9451341198,40.4411078961
601,-79.945128454,40.4411067645
602,-79.9451227882,40.441105633
603,-79.9451171224,40.4411045015
604,-79.9451114567,40.44110337
605,-79.9451057909,40.4411022385
606,-79.9451001251,40.441101107
607,-79.9450944593,40.4410999755
608,-79.9450887935,40.441098844
609,-79.9450831277,40.4410977125
610,-79.9450774619,40.441096581
611,-79.9450717961,40.4410954495
612,-79.9450661303,40.441094318
613,-79.9450604645,40.4410931865
614,-79.9450547987,40.441092055
615,-79.945049133,40.4410909235
616,-79.9450434672,40.4410897919
617,-79.9450378014,40.4410886604
618,-79.9450321356,40.4410875289
619,-79.9450264698,40.4410863974
620,-79.945020804,40.4410852659
621,-79.9450151382,40.4410841344
622,-79.9450094724,40.4410830029
623,-79.9450038066,40.4410818714
624,-79.9449981409,40.4410807399
625,-79.9449924751,40.4410796084
626,-79.9449868093,40.4410784769
627,-79.9449811435,40.4410773454
628,-79.9449754777,40.4410762139
629,-79.9449698119,40.4410750824
630,-79.9449641461,40.4410739509
631,-79.9449584803,40.4410728194
632,-79.9449528145,40.4410716878
633,-79.9449471488,40.4410705563
634,-79.944941483,40.4410694248
635,-79.9449358172,40.4410682933
636,-79.9449301514,40.4410671618
637,-79.9449244856,40.4410660303
638,-79.9449188198,40.4410648988
639,-79.944913154,40.4410637673
640,-79.9449074882,40.4410626358
641,-79.9449018225,40.4410615043
642,-79.9448961567,40.4410603728
643,-79.9448904909,40.4410592413
644,-79.9448848251,40.4410581098
645,-79.9448791593,40.4410569783
646,-79.9448734935,40.4410558468
647,-79.9448678277,40.4410547152
648,-79.9448621619,40.4410535837
649,-79.9448564962,40.4410524522
650,-79.9448508304,40.4410513207
651,-79.9448451646,40.4410501892
652,-79.9448394988,40.4410490577
653,-79.944833833,40.4410479262
654,-79.9448281672,40.4410467947
655,-79.9448225014,40.4410456632
656,-79.9448168357,40.4410445317
657,-79.9448111699,40.4410434002
658,-79.9448055041,40.4410422687
659,-79.9447998383,40.4410411372
660,-79.9447941725,40.4410400057
661,-79.9447885067,40.4410388742
